,Name,Address,Price,Rating,Amenities
87,OYO 18926 Tourist Krishna Inn,"Near Barkatpura Rd, Kachiguda Station Rd,Hyderabad",1261.0,3.8 ,"Center Table, Parking Facility, Center Table"
88,OYO 9386 Hotel Mannys Plaza,"Near ICICI Bank, Begumpet, Hyderabad",1262.0,NEW,"AC, TV"
89,Collection O 63872 Enchanting Spaces ,"Near Railway Officer Colony, Walker Town, Hyderabad",1265.0,4.6 ,"Parking Facility, Reception, Free Wifi"
90,OYO 35467 Shiridi Residency,"Near Chermas, Abids, Hyderabad",1269.0,4.6 ,"Reception, Fan, Intercom"
91,OYO 63021 Hotel Hill 9,"Near Lotus Pond, Film Nagar, Hyderabad",1276.0,4.2 ,"Reception, Power backup, Security"
92,Silverkey Executive Stays 22453 Himayat Nagar Circle,"Near Narayanguda Road, Vittalwadi, Hyderabad",1277.0,4.2 ,"Private Entrance, Hair Dryer, Reception"
93,OYO 63371 R Square Stay,"Near LB Nagar Metro Station, Hyderabad",1279.0,3.9 ,"Parking Facility, Reception, Free Wifi"
94,Capital O 5072 Padmini Hotel,"Near S.D Road, Clocktower, Hyderabad",1294.0,4.0 ,"Elevator, Center Table, Free Wifi"
95,OYO 41102 Hyderabad Elite,"Near Airport Road Pillar No.203, Rockwood Phase 1, Hyderabad",1297.0,3.8 ,"Private Entrance, Parking Facility, Reception"
96,OYO Home 62424 Royal Stay,"Near Mynteramall, Ashoke Vihar 2 Colony, Hyderabad",1300.0,4.5 ,"Parking Facility, Free Wifi, Power backup"
97,OYO 14669 Mayur's Residency,"Near Sri Krupa Market, Malakpet, Hyderabad",1317.0,4.1 ,"Fan, Free Wifi, Power backup"
98,Capital O 49135 Sri Simran Park Hotel,"Near Secunderabad Railway Station, Secunderabad, Hyderabad",1321.0,3.0 ,"Parking Facility, Free Wifi, Power backup"
99,OYO 48723 Shanthaa Residency Lodge,"Near Vajrala complex, Kothapet., Hyderabad",1321.0,4.1 ,"Parking Facility, Reception, Free Wifi"
100,OYO 15141 Townvilla Guest House,"Near Sister Nivedita School, Ameerpet, Hyderabad",1321.0,4.3 ,"Parking Facility, Free Wifi, Power backup"
101,Collection O 42514 Banjara Hills,"Near Banjara Hills, Hyderabad",1335.0,4.6 ,"Parking Facility, Center Table, Reception"
102,OYO 23323 Hotel Dove,"Near Manu Complex, Mehdipatnam Ring Road, Hyderabad",1336.0,4.2 ,"Parking Facility, Center Table, Reception"
103,OYO 7343 Al Shareef Palace,"Etaber Chowk, Shareef Estate, Hyderabad",1348.0,4.1 ,"Center Table, Free Wifi, AC"
104,OYO 40852 Hotel White Ridge,"Near Dilsukhnagar Metro Station, Hyderabad",1357.0,4.5 ,"Parking Facility, Reception, Free Wifi"
105,OYO 40869 White Ridge ,"Near Sanjeevini Hospital, Kothapet road, Hyderabad",1368.0,4.4 ,"Reception, Fan, Daily Housekeeping"
106,Capital O 1780 Hotel Belsons Taj Mahal,"Near MCH Swimming Pool, Hyderabad",1389.0,4.2 ,"Center Table, Fan, Power backup"
107,OYO 9303 Celebrity Skyhy Rooms,"Chikoti Gardens, Begumpet, Hyderabad",1423.0,NEW,"Parking Facility, Center Table, Free Wifi"
108,OYO 29928 Royal Emirates Banjara,"Near Meeras Design Studio, Punjagutta, Hyderabad",1432.0,4.3 ,"Parking Facility, Reception, Free Wifi"
